state,local_minimum_id,status,stored_objective,cartesian_objective,objective_abs_difference,sqrt_s_abs_difference,pOut_abs_difference,qOut_abs_difference,theta_p_abs_difference,theta_gamma_abs_difference,phi_p_abs_difference,phi_gamma_abs_difference,proton_direction_distance,photon_direction_distance,proton_vector_roundtrip_distance,photon_vector_roundtrip_distance,energy_residual,momentum_residual,within_objective_tolerance,within_kinematic_tolerance
GHZ,0,pass,2.2283461909263584e-08,2.576732324820442e-08,3.4838613389408347e-09,7.860379014346108e-13,2.220446049250313e-16,0.0,1.2175364345094416e-15,0.0,1.8994565920138484e-09,nan,1.2423659297998578e-15,2.3382004039700684e-16,5.389115423892222e-16,1.2697140768093426e-16,0.0,3.980713933274903e-25,True,True
GHZ,1,pass,2.280689526761525e-08,2.283289832245214e-08,2.6003054836890504e-11,9.947598300641403e-13,0.0,1.1102230246251565e-16,0.0,0.0,nan,nan,1.0695989339674995e-24,2.2427010294972154e-16,2.800715602890667e-16,1.1200033910483282e-16,0.0,1.5265566588595902e-16,True,True
GHZ,2,pass,2.2912499293258053e-08,2.2886369802771402e-08,2.612949048665165e-11,4.440892098500626e-13,0.0,0.0,0.0,0.0,nan,nan,4.103546665284314e-18,6.330786035554465e-17,2.7998782667591255e-16,1.4849633565085033e-17,8.881784197001252e-16,0.0,True,True
GHZ,3,pass,2.324334173144766e-08,2.3241731783637667e-08,1.6099478099925328e-12,3.108624468950438e-14,2.220446049250313e-16,0.0,0.0,0.0,nan,nan,2.441408281243575e-16,2.3898207045997854e-16,2.6540078285147426e-16,1.4083130575101158e-16,8.881784197001252e-16,0.0,True,True
GHZ,4,pass,2.367139493067438e-08,2.3671218893950626e-08,1.7603672375517583e-13,7.123190925995004e-13,0.0,9.71445146547012e-17,0.0,0.0,nan,nan,0.0,0.0,2.953867147917248e-16,9.71445146547012e-17,0.0,6.938893903907228e-17,True,True
GHZ,5,pass,2.390074716985364e-08,2.3901187542155442e-08,4.403723018023609e-13,7.123190925995004e-13,0.0,9.71445146547012e-17,0.0,0.0,nan,nan,2.4269694918445435e-28,0.0,2.953867147917248e-16,9.71445146547012e-17,0.0,6.938893903907228e-17,True,True
GHZ,6,pass,2.393293392547712e-08,2.6676332320527954e-08,2.7433983950508342e-09,3.1441516057384433e-13,4.501607420159814e-16,0.0,8.837375276016246e-13,0.0,6.52811138479592e-13,nan,8.888716633171233e-13,1.0562580887679289e-16,6.686506097153697e-16,2.485980345115318e-16,0.0,0.0,True,True
GHZ,7,pass,2.4114924757736163e-08,2.700251683529719e-08,2.8875920775610283e-09,9.672262990534364e-13,1.8214596497756474e-16,0.0,2.8090039915621193e-14,0.0,4.230116212866619e-08,nan,4.250246446080316e-14,8.072181065489177e-17,5.6623682806510375e-16,2.253852973947597e-16,0.0,2.8147898161824577e-25,True,True
GHZ,8,pass,2.427600643016904e-08,2.4275585195697998e-08,4.212344710433362e-13,2.1049828546892968e-13,2.220446049250313e-16,0.0,0.0,0.0,nan,nan,2.198413788446723e-16,1.4404192367485537e-16,2.3243377472634585e-16,2.0477605171986626e-16,0.0,2.220446049250313e-16,True,True
GHZ,9,pass,2.4308350027689875e-08,2.4308363096065304e-08,1.306837542855704e-14,6.608047442568932e-13,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.0,nan,nan,2.44927549427419e-16,1.473201061834331e-16,1.5034976975035265e-16,2.479736424435601e-16,8.881784197001252e-16,0.0,True,True
GHZ,10,pass,2.439097294753011e-08,2.7126394554156897e-08,2.7354216066267885e-09,2.460254222569347e-13,2.418583996272039e-16,0.0,1.1786127629420662e-12,0.0,1.9255708139098715e-12,nan,1.4258166331874058e-12,2.0738468994962908e-16,3.0234702906536225e-16,2.3868628732931473e-16,0.0,0.0,True,True
GHZ,11,pass,2.4487161100947876e-08,2.448720066027558e-08,3.955932770403151e-14,9.254819133275305e-13,0.0,0.0,0.0,0.0,nan,nan,2.3921489241819675e-16,1.4396242373272457e-22,2.1072610341770308e-16,8.079756438716569e-17,8.881784197001252e-16,1.1102230246251565e-16,True,True
GHZ,12,pass,2.4614682223386802e-08,2.4620993108584572e-08,6.310885197770059e-12,5.417888360170764e-13,4.440892098500626e-16,1.1102230246251565e-16,0.0,0.0,nan,nan,1.849181934378845e-16,1.708251591714707e-16,5.14357961369362e-16,1.1623584993314875e-16,0.0,0.0,True,True
GHZ,13,pass,2.4622180989178895e-08,2.462387471651821e-08,1.6937273393140971e-12,3.694822225952521e-13,2.220446049250313e-16,0.0,0.0,0.0,6.464655477600445e-10,nan,4.200075081864445e-16,2.257581662747866e-16,6.573524356227106e-16,1.101011320413306e-16,8.881784197001252e-16,0.0,True,True
GHZ,14,pass,2.4676752957090714e-08,2.467739977472168e-08,6.468176309653678e-13,7.37188088351104e-14,0.0,8.326672684688674e-17,0.0,0.0,nan,nan,2.751874872454499e-17,0.0,2.930175836395502e-16,8.326672684688674e-17,8.881784197001252e-16,2.7755575615628914e-17,True,True
GHZ,15,pass,2.4759391640348698e-08,2.601761868640597e-08,1.258227046057271e-09,3.552713678800501e-14,5.398242616805327e-16,0.0,8.700679066109274e-14,0.0,8.031797449348232e-12,nan,3.274150249768814e-13,9.00537780303822e-18,5.705915336817503e-16,2.487512626222034e-16,0.0,0.0,True,True
GHZ,16,pass,2.4760800192403254e-08,2.4760618648059452e-08,1.8154434380263455e-13,6.128431095930864e-14,1.1102230246251565e-16,0.0,4.440892098500626e-16,0.0,1.7248424910576432e-12,nan,4.739296175380558e-16,3.098567593065775e-17,3.3234060965203496e-16,2.0192884739130389e-16,0.0,2.220446049250313e-16,True,True
GHZ,17,pass,2.4853029994183214e-08,2.485323431574424e-08,2.043215610257539e-13,3.5349501104064984e-13,1.6653345369377348e-16,2.220446049250313e-16,0.0,0.0,nan,nan,2.448665352085748e-16,1.2898596224815168e-16,1.7370926137252193e-16,3.1181445694209136e-16,8.881784197001252e-16,0.0,True,True
GHZ,18,pass,2.5161189511475634e-08,2.5159453849823186e-08,1.7356616524485128e-12,5.719869022868806e-13,0.0,1.1102230246251565e-16,0.0,0.0,nan,nan,6.412605562330014e-17,1.4245253906627863e-16,1.8453632516778601e-16,1.5295395352094904e-16,0.0,0.0,True,True
GHZ,19,pass,2.5353888321977973e-08,2.5353584498756554e-08,3.038232214190649e-13,1.4033219031261979e-13,5.551115123125783e-17,0.0,8.881784197001252e-16,0.0,9.50350909079134e-13,nan,9.281753145295246e-16,4.733720584529195e-17,2.3358900692720587e-16,2.313111769652952e-16,0.0,2.220446049250313e-16,True,True
GHZ,20,pass,2.540438587024773e-08,2.5870256694851145e-08,4.658708246034161e-10,1.8562928971732617e-13,5.425347671117464e-16,0.0,9.270015310924862e-14,0.0,3.837818951524241e-12,nan,1.1946341938857236e-13,2.1203803300867146e-16,6.980935982125951e-16,2.4875849576039155e-16,0.0,0.0,True,True
GHZ,21,pass,2.5599617835765438e-08,2.559973896087877e-08,1.2112511333299018e-13,8.917311333789257e-13,0.0,0.0,8.881784197001252e-16,0.0,2.3034019136503048e-11,nan,1.6347693417742263e-15,1.998498726074866e-16,5.275299156956658e-16,9.253111746195785e-17,0.0,2.2204460492622535e-16,True,True
