state,local_minimum_id,status,stored_objective,cartesian_objective,objective_abs_difference,sqrt_s_abs_difference,pOut_abs_difference,qOut_abs_difference,theta_p_abs_difference,theta_gamma_abs_difference,phi_p_abs_difference,phi_gamma_abs_difference,proton_direction_distance,photon_direction_distance,proton_vector_roundtrip_distance,photon_vector_roundtrip_distance,energy_residual,momentum_residual,within_objective_tolerance,within_kinematic_tolerance
W,0,pass,1.6432839182868406e-05,1.6032671033342927e-05,4.0016814952547846e-07,5.524469770534779e-13,3.3306690738754696e-16,0.0,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.577566798522237e-16,1.7694179454963432e-16,3.2957919968262575e-16,1.8234411131298637e-16,0.0,3.469446951953614e-18,True,True
W,1,pass,2.2787597531435583e-05,2.2249534281196985e-05,5.380632502385976e-07,3.645972412869014e-13,5.551115123125783e-17,2.498001805406602e-16,4.440892098500626e-16,8.881784197001252e-16,4.440892098500626e-16,4.440892098500626e-16,6.473657049138938e-16,9.566618574882216e-16,2.387624894196368e-16,2.9933908976713375e-16,0.0,2.0816681711721685e-17,True,True
W,2,pass,2.3768973749756497e-05,2.3740672990718905e-05,2.8300759037592284e-08,6.414868636284154e-13,1.1102230246251565e-16,5.551115123125783e-17,4.440892098500626e-16,2.220446049250313e-16,8.881784197001252e-16,0.0,8.025154038416283e-16,2.482594761251414e-16,3.7341307954279784e-16,1.4605712375514843e-16,0.0,2.787728152484798e-17,True,True
W,3,pass,2.4045337320230922e-05,2.4121556034730024e-05,7.621871449910159e-08,8.413270080609436e-13,2.220446049250313e-16,5.551115123125783e-17,8.881784197001252e-16,4.440892098500626e-16,4.440892098500626e-16,0.0,9.164480257431443e-16,4.440892098500626e-16,4.760299001814607e-16,2.5277605735232253e-16,4.440892098500626e-16,2.42861286636753e-17,True,True
W,4,pass,2.442857104261375e-05,2.3446120800727554e-05,9.824502418861952e-07,5.693223670277803e-13,4.440892098500626e-16,0.0,0.0,2.220446049250313e-16,0.0,8.881784197001252e-16,0.0,9.222205069512407e-16,3.925231146709438e-16,2.242025235105681e-16,4.440892098500626e-16,3.925231146709438e-17,True,True
W,5,pass,2.8544004394953432e-05,2.8490030231979944e-05,5.3974162973488094e-08,2.3669954885008337e-13,1.1102230246251565e-16,1.1102230246251565e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,4.710277376051325e-16,4.718447854656915e-16,2.5438405243138006e-16,1.4220500840710912e-16,4.440892098500626e-16,0.0,True,True
W,6,pass,3.059439453945377e-05,3.042253814037344e-05,1.7185639908033252e-07,1.496580637194711e-13,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,2.220446049250313e-16,0.0,8.881784197001252e-16,5.266250202865052e-16,8.15843973306311e-16,4.335559509131367e-16,1.7554167342883506e-16,0.0,1.3877787807814457e-17,True,True
W,7,pass,3.643433635268429e-05,3.675765917816288e-05,3.233228254785923e-07,2.7045032879868813e-13,1.1102230246251565e-16,0.0,0.0,2.220446049250313e-16,0.0,4.440892098500626e-16,5.551115123125783e-17,4.965068306494546e-16,2.0770370905276122e-16,1.0838898772828417e-16,0.0,1.3877787807814457e-17,True,True
W,8,pass,4.2444496781161925e-05,4.288725630269761e-05,4.4275952153568506e-07,1.9206858326015208e-13,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,4.440892098500626e-16,4.884981308350689e-15,0.0,6.812849011957654e-16,4.577566798522237e-16,2.384598113058742e-16,1.3668035872266426e-16,4.440892098500626e-16,1.3877787807814457e-17,True,True
W,9,pass,4.380741430293793e-05,4.3602339111761296e-05,2.050751911766312e-07,5.404565683875262e-13,0.0,1.1102230246251565e-16,0.0,2.220446049250313e-16,4.440892098500626e-16,0.0,2.3551386880256624e-16,2.9893669801409083e-16,3.1401849173675503e-16,1.9106537162705423e-16,0.0,3.0357660829594124e-18,True,True
W,10,pass,4.831784993427198e-05,4.841904853359676e-05,1.0119859932478174e-07,8.180123245438153e-13,1.1102230246251565e-16,1.1102230246251565e-16,4.440892098500626e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,5.79553433516819e-16,2.220446049250313e-16,3.554447978966673e-16,1.9413601910931481e-16,0.0,2.797157557069881e-17,True,True
W,11,pass,4.849990883785962e-05,4.884168824243762e-05,3.417794045779959e-07,9.29478716216181e-13,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,8.881784197001252e-16,4.440892098500626e-16,4.965068306494546e-16,4.577566798522237e-16,2.7755575615628914e-16,2.2887833992611187e-16,4.440892098500626e-16,0.0,True,True
