state,local_minimum_id,status,stored_objective,cartesian_objective,objective_abs_difference,sqrt_s_abs_difference,pOut_abs_difference,qOut_abs_difference,theta_p_abs_difference,theta_gamma_abs_difference,phi_p_abs_difference,phi_gamma_abs_difference,proton_direction_distance,photon_direction_distance,proton_vector_roundtrip_distance,photon_vector_roundtrip_distance,energy_residual,momentum_residual,within_objective_tolerance,within_kinematic_tolerance
CEP,0,pass,3.5035629952773206e-10,1.4959889993448883e-09,1.1456326998171562e-09,4.3076653355456074e-14,2.220446049250313e-16,4.163336342344337e-17,0.0,2.220446049250313e-15,5.773159728050814e-15,1.2212453270876722e-12,4.2339448331361006e-18,2.5173886961083877e-15,2.528803752644338e-16,2.320809088760089e-16,4.440892098500626e-16,8.326673677578927e-17,True,True
CEP,1,pass,8.150980446153255e-09,2.0442721182512003e-08,1.2291740736358747e-08,5.311306949806749e-13,4.440892098500626e-16,6.938893903907228e-17,4.440892098500626e-16,1.3322676295501878e-15,1.0658141036401503e-14,6.049827305787403e-12,4.704102870175717e-16,3.60901552537305e-15,6.149788951451842e-16,2.8150483115800374e-16,0.0,1.1102230246256614e-16,True,True
CEP,2,pass,1.0551086671028997e-08,1.1590483905976612e-08,1.0393972349476144e-09,5.559996907322784e-13,4.440892098500626e-16,1.1102230246251565e-16,0.0,2.220446049250313e-15,1.8207657603852567e-14,1.8678392166293634e-12,1.896351114555001e-16,2.3491204281753396e-15,4.1042618949880224e-16,2.848490859985188e-16,0.0,1.3886028059450863e-17,True,True
CEP,3,pass,1.1269953636983132e-08,1.1690941437159097e-08,4.209878001759648e-10,3.3084646133829665e-13,0.0,6.591949208711867e-17,8.881784197001252e-16,3.9968028886505635e-15,5.329070518200751e-15,8.500311565740049e-12,9.257411855127548e-16,7.403319634467992e-15,4.3966599865267555e-16,1.9736355015371543e-16,0.0,2.7772493945786593e-17,True,True
CEP,4,pass,1.152247819380392e-08,1.8620667896485088e-08,7.098189702681168e-09,7.513989430663059e-13,2.220446049250313e-16,2.7755575615628914e-17,0.0,8.881784197001252e-16,1.7763568394002505e-14,1.795008586213953e-12,1.7488957375554416e-16,2.0697896081034625e-15,2.38892034979171e-16,2.102132100859643e-16,0.0,9.714502309532046e-17,True,True
CEP,5,pass,1.2562072937427615e-08,1.6556192972139172e-08,3.994120034711557e-09,2.9265478929119126e-13,2.220446049250313e-16,6.938893903907228e-17,0.0,8.881784197001252e-16,3.552713678800501e-14,0.0,2.4517241869011304e-16,8.881784197001252e-16,4.631549250718174e-16,1.0255689455082895e-16,0.0,8.326681618234497e-17,True,True
CEP,6,pass,1.2890082445871087e-08,1.9071495827027718e-08,6.181413381156631e-09,5.950795411990839e-14,4.440892098500626e-16,4.163336342344337e-17,4.440892098500626e-16,8.881784197001252e-16,1.0662581928500003e-12,3.907985046680551e-14,4.826809155119972e-16,8.897751308773389e-16,6.157810546970484e-16,6.790264673655422e-17,4.440892098500626e-16,8.326672795286131e-17,True,True
CEP,7,pass,1.8378940147556477e-08,3.128468029078846e-08,1.290574014323198e-08,8.881784197001252e-13,8.456776945386935e-17,1.1102230246251565e-16,7.105427357601002e-14,0.0,2.3359092438113294e-13,1.9939605522267811e-13,9.535076885829584e-14,8.930656466992296e-17,3.458437293300833e-16,2.02644592112201e-16,4.440892098500626e-16,1.0177630256852453e-20,True,True
CEP,8,pass,4.8378591355202616e-08,4.845751999660308e-08,7.89286414004664e-11,7.887024366937112e-13,1.1102230246251565e-16,9.71445146547012e-17,0.0,3.1086244689504383e-15,nan,1.5480949855373183e-12,4.229509941909459e-17,3.9356782430080824e-15,1.6069109830685258e-16,2.1809915498483278e-16,4.440892098500626e-16,2.7755575615628914e-17,True,True
CEP,9,pass,6.731154200689815e-08,7.098171683761478e-08,3.6701748307166326e-09,4.89608353859694e-13,1.1102230246251565e-16,6.938893903907228e-18,0.0,1.021405182655144e-14,1.9539925233402755e-14,2.9753977059954195e-13,8.7973180715010535e-16,1.0215072770157083e-14,4.089257906505944e-16,2.4920521458701745e-16,2.220446049250313e-16,7.112887243257201e-18,True,True
CEP,10,pass,7.981417982083627e-08,9.151568358678475e-08,1.1701503765948473e-08,4.973799150320701e-14,2.220446049250313e-16,4.163336342344337e-17,0.0,8.881784197001252e-16,1.4654943925052066e-14,1.6786572132332367e-13,1.9091445004754126e-16,9.219641014869533e-16,2.404557122072247e-16,6.734557205680129e-17,0.0,6.24555170790304e-17,True,True
CEP,11,pass,9.994091065834709e-08,1.0095505320606435e-07,1.014142547717256e-09,3.0464519795714295e-13,0.0,6.938893903907228e-17,0.0,4.440892098500626e-16,nan,8.476774837617995e-12,2.2226931354752444e-16,2.4505720557001195e-15,1.1651939495662454e-16,1.438402124724544e-16,0.0,4.163336342344337e-17,True,True
CEP,12,pass,1.0233376035451158e-07,1.0234317426860429e-07,9.41391409270409e-12,6.994405055138486e-13,2.220446049250313e-16,3.469446951953614e-17,0.0,3.9968028886505635e-15,nan,4.672262576832509e-12,4.091120286920312e-18,4.764812197876753e-15,2.4374962595887984e-16,2.0840118379463955e-16,4.440892098500626e-16,3.469446951953614e-17,True,True
CEP,13,pass,1.2976302765643766e-07,1.332702573852984e-07,3.50722972886075e-09,3.0020430585864233e-13,2.220446049250313e-16,1.1796119636642288e-16,4.440892098500626e-16,6.661338147750939e-15,2.6645352591003757e-15,4.515054996545587e-12,4.561119363553872e-16,7.358833169700966e-15,3.6002312552767666e-16,2.409105713181617e-16,0.0,3.47007596719825e-17,True,True
CEP,14,pass,1.5941086561888085e-07,1.7087111636726604e-07,1.1460250748385192e-08,9.585665594613602e-13,1.6653345369377348e-16,7.979727989493313e-17,4.440892098500626e-16,5.329070518200751e-15,3.1086244689504383e-15,7.66053886991358e-13,4.992435714606357e-16,5.375588176916178e-15,3.0686098050092243e-16,1.350443191631472e-16,2.220446049250313e-16,1.7347319463584907e-17,True,True
CEP,15,pass,1.6159830529272057e-07,1.6622070853067328e-07,4.62240323795271e-09,3.044231533522179e-13,0.0,4.163336342344337e-17,0.0,1.7763568394002505e-15,nan,2.2808421817899216e-12,1.9822319775854082e-16,2.7164037704495803e-15,7.082756903174664e-17,9.283375565397962e-17,0.0,5.551115123125783e-17,True,True
CEP,16,pass,1.6254273771387773e-07,1.6400270019811813e-07,1.4599624842404069e-09,4.2033043712308427e-13,0.0,1.0408340855860843e-16,0.0,0.0,nan,6.67021993194794e-13,2.449225302673528e-16,4.0147825269616697e-16,7.307646709835048e-17,9.802852871961873e-17,0.0,3.469446951953614e-17,True,True
CEP,17,pass,1.8292934778063596e-07,1.847538720900488e-07,1.8245243094128227e-09,4.662936703425657e-13,1.1102230246251565e-16,9.020562075079397e-17,4.440892098500626e-16,1.7763568394002505e-15,3.5127456499139953e-12,2.743583138453687e-12,6.982764000983752e-16,3.1810264505962934e-15,4.90459957639956e-16,1.6621606327797646e-16,4.440892098500626e-16,3.469446965687509e-17,True,True
