state,local_minimum_id,status,stored_objective,cartesian_objective,objective_abs_difference,sqrt_s_abs_difference,pOut_abs_difference,qOut_abs_difference,theta_p_abs_difference,theta_gamma_abs_difference,phi_p_abs_difference,phi_gamma_abs_difference,proton_direction_distance,photon_direction_distance,proton_vector_roundtrip_distance,photon_vector_roundtrip_distance,energy_residual,momentum_residual,within_objective_tolerance,within_kinematic_tolerance
CEGAMMA,0,pass,4.3254178017093636e-11,1.5178536205695536e-10,1.0853118403986173e-10,5.497824417943775e-13,4.440892098500626e-16,1.1102230246251565e-16,2.914335439641036e-16,0.0,0.0,nan,3.11864493316497e-16,1.6219094519773563e-17,6.894341957538586e-16,1.4586559616414535e-16,8.881784197001252e-16,0.0,True,True
CEGAMMA,1,pass,8.31155144709328e-11,2.3073065680279115e-10,1.4761514233185835e-10,8.846257060213247e-13,0.0,0.0,1.3877787807814457e-16,0.0,1.7763568394002505e-15,nan,1.8685166788891367e-16,2.449117434284436e-16,3.9486208486039675e-16,1.1847989493864301e-16,0.0,0.0,True,True
CEGAMMA,2,pass,1.0399348049361379e-10,2.402136267676269e-10,1.3622014627401313e-10,6.288303211476887e-13,2.220446049250313e-16,2.220446049250313e-16,2.914335439641036e-16,0.0,8.881784197001252e-16,nan,2.967138682343236e-16,2.4216983286373625e-16,5.727580154241112e-16,2.5987284134851625e-16,0.0,9.778876543521671e-18,True,True
CEGAMMA,3,pass,1.1827960832988538e-10,6.814062314397518e-09,6.695782706067632e-09,8.504308368628699e-13,2.220446049250313e-16,0.0,8.326672684688674e-17,0.0,3.552713678800501e-15,nan,2.060018650712878e-16,2.4405131790577487e-16,4.424927005584847e-16,1.0633533935106258e-16,0.0,4.098911264292785e-18,True,True
CEGAMMA,4,pass,2.7763269461189566e-10,7.448854422165141e-09,7.171221727553245e-09,7.833733661755105e-13,0.0,0.0,2.636779683484747e-16,0.0,8.881784197001252e-16,nan,2.707677237366074e-16,2.253992163008832e-16,5.416837055960095e-16,1.472109723950474e-16,0.0,0.0,True,True
CEGAMMA,5,pass,2.9097813047940235e-10,8.786182226216965e-09,8.495204095737563e-09,3.9479530755670567e-13,3.2612801348363973e-16,9.71445146547012e-17,6.675215935558754e-15,0.0,2.5757174171303632e-14,nan,7.179677831137211e-15,2.3069087987360397e-16,5.24976443451851e-16,9.744593581400157e-17,0.0,0.0,True,True
CEGAMMA,6,pass,3.5582659041466513e-10,4.24759116768314e-10,6.893252635364888e-11,5.977440764581843e-13,4.440892098500626e-16,0.0,1.0408340855860843e-16,0.0,8.881784197001252e-16,nan,1.0469239421353941e-16,2.431199662064357e-16,5.225163415506951e-16,7.59466852334304e-17,8.881784197001252e-16,4.098911264292785e-18,True,True
CEGAMMA,7,pass,3.747385735053399e-10,6.160136512001202e-09,5.785397938495862e-09,3.779199175824033e-13,8.881784197001252e-16,2.220446049250313e-16,1.6653345369377348e-16,0.0,8.881784197001252e-16,nan,1.803695691833777e-16,1.6636678770034197e-16,7.467305805044947e-16,2.655252742836035e-16,8.881784197001252e-16,0.0,True,True
CEGAMMA,8,pass,4.228716266041488e-10,6.379067940542882e-09,5.956196313938733e-09,3.530509218307998e-13,2.220446049250313e-16,2.220446049250313e-16,5.551115123125783e-17,0.0,4.440892098500626e-16,nan,6.326986235218353e-17,1.468216353389202e-16,2.261869214020211e-16,2.390842595362963e-16,8.881784197001252e-16,0.0,True,True
CEGAMMA,9,pass,4.766462780025904e-10,8.172326149136211e-09,7.69567987113362e-09,7.558398351648066e-13,0.0,0.0,1.8041124150158794e-16,0.0,4.440892098500626e-16,nan,1.8141757685035647e-16,2.221986324890176e-17,4.187988565522884e-16,2.4604979094451964e-16,0.0,0.0,True,True
